file,category_count,match_lines,categories,samples
tech-stack-generator/src/pages/Workflows.tsx,16,312,hex color(5); Tailwind arbitrary [...](16); Npx literal(16); % literal(1); transition*(1); text-* size(63); padding/margin *(83); gap/space-*(39); w-/h-*(12); max/min w/h(6); rounded-*(23); shadow*(1); Tailwind palette color(7); font-weight(23); tracking/leading(14); style object key(2),"L32:style Prod fill:var(--color-dark-midnight-blue-750),stroke:#22c55e | L33:style Gate fill:var(--color-ecru-950),stroke:#f97316 | L170:<div className=""flex items-center gap-2 px-3 py-1.5 border-b border-docs-border bg-panel/80 text-[10px] text-subtle font | L179:<div className=""p-4 text-xs leading-relaxed text-muted bg-[repeating-linear-gradient(45deg,var(--surface-soft),var(--sur"
features/crm/ClientsView.tsx,14,191,Tailwind arbitrary [...](10); rem/em literal(9); z-index numeric(1); Tailwind duration/delay(1); animate-*(2); transition*(1); text-* size(40); padding/margin *(34); gap/space-*(25); w-/h-*(19); max/min w/h(4); rounded-*(10); font-weight(24); tracking/leading(11),"L85:<p className=""shell-workspace-eyebrow text-[0.6875rem] font-semibold uppercase tracking-[0.26em]""> | L108:<p className=""shell-workspace-faint text-[0.6875rem] font-semibold uppercase tracking-[0.2em]"">Total Clients</p> | L85:<p className=""shell-workspace-eyebrow text-[0.6875rem] font-semibold uppercase tracking-[0.26em]""> | L108:<p className=""shell-workspace-faint text-[0.6875rem] font-semibold uppercase tracking-[0.2em]"">Total Clients</p>"
features/crm/ProjectDetailView.tsx,16,171,Tailwind arbitrary [...](8); Npx literal(4); rem/em literal(7); z-index numeric(2); Tailwind duration/delay(2); animate-*(2); transition*(1); text-* size(35); padding/margin *(32); gap/space-*(23); w-/h-*(14); max/min w/h(3); rounded-*(9); font-weight(22); tracking/leading(6); style object key(1),"L200:<p className=""shell-workspace-eyebrow text-[0.625rem] font-semibold uppercase tracking-[0.2em]"">Project Detail</p> | L206:<div className=""grid gap-8 lg:grid-cols-[1fr_2fr]""> | L212:<p className=""shell-workspace-faint text-[10px] font-semibold uppercase tracking-[0.2em]"">Client Account</p> | L244:<p className=""shell-workspace-faint text-[10px] font-semibold uppercase tracking-[0.2em]"">Project Brief</p>"
features/crm/ProjectsView.tsx,15,154,Tailwind arbitrary [...](5); Npx literal(4); rem/em literal(6); z-index numeric(1); Tailwind duration/delay(1); animate-*(1); transition*(2); text-* size(32); padding/margin *(32); gap/space-*(19); w-/h-*(12); max/min w/h(1); rounded-*(9); font-weight(21); tracking/leading(8),"L76:<p className=""shell-workspace-eyebrow text-[0.6875rem] font-semibold uppercase tracking-[0.26em]""> | L99:<p className=""shell-workspace-faint text-[0.625rem] font-semibold uppercase tracking-[0.2em]"">Total Projects</p> | L103:<p className=""shell-workspace-faint text-[10px] font-semibold uppercase tracking-[0.2em]"">Active Projects</p> | L109:<p className=""shell-workspace-faint text-[10px] font-semibold uppercase tracking-[0.2em]"">On Hold</p>"
features/crm/QuotesView.tsx,16,153,Tailwind arbitrary [...](10); Npx literal(7); rem/em literal(7); z-index numeric(1); Tailwind duration/delay(1); animate-*(1); transition*(1); text-* size(32); padding/margin *(29); gap/space-*(15); w-/h-*(13); max/min w/h(3); rounded-*(7); font-weight(18); tracking/leading(7); style object key(1),"L115:<p className=""shell-workspace-eyebrow text-[0.6875rem] font-semibold uppercase tracking-[0.26em]""> | L139:<p className=""shell-workspace-faint text-[0.625rem] font-semibold uppercase tracking-[0.2em]"">Closed Approved</p> | L148:<p className=""shell-workspace-faint text-[10px] font-semibold uppercase tracking-[0.2em]"">Active In-Flight</p> | L157:<p className=""shell-workspace-faint text-[10px] font-semibold uppercase tracking-[0.2em]"">Total Quotes</p>"
features/planner/3d/Planner3DViewer.tsx,15,149,inline style={{ }}(5); Tailwind arbitrary [...](22); rem/em literal(23); % literal(1); transition*(2); text-* size(1); padding/margin *(19); gap/space-*(4); w-/h-*(12); max/min w/h(5); rounded-*(13); shadow*(13); font-weight(12); tracking/leading(11); style object key(6),"L284:<Html center transform distanceFactor={10} position={[0, height / 2 + 0.14, 0]} style={{ pointerEvents: ""none"" }}> | L575:<Html position={metrics.labelPosition} style={{ pointerEvents: ""none"" }}> | L285:<div className=""planner-viewer-chip min-w-[7rem] rounded-full px-3 py-1 text-center typ-caption font-semibold uppercase  | L576:<div className=""planner-viewer-surface rounded-2xl border border-theme-soft px-3 py-2 typ-caption font-semibold uppercas"
app/(site)/products/[category]/[product]/ProductViewer.tsx,17,139,inline style={{ }}(1); Tailwind arbitrary [...](3); % literal(1); z-index numeric(4); Tailwind duration/delay(1); animate-*(2); transition*(10); text-* size(15); padding/margin *(45); gap/space-*(13); w-/h-*(14); max/min w/h(2); rounded-*(10); shadow*(3); font-weight(8); tracking/leading(6); style object key(1),"L601:style={{ width: ""100%"", height: ""100%"" }} | L651:<span className=""pdp-chip pdp-chip--soft px-2.5 border-l-2 border-l-[var(--color-primary)]""> | L656:<span className=""pdp-chip pdp-chip--solid px-2.5 border-l-2 border-l-[var(--color-ocean-boat-blue-500)]""> | L601:style={{ width: ""100%"", height: ""100%"" }}"
features/shared/entry/ProductEntryPage.tsx,17,139,inline style={{ }}(22); Tailwind arbitrary [...](12); Npx literal(3); rem/em literal(11); % literal(1); vh/vw(1); transition*(1); text-* size(14); padding/margin *(17); gap/space-*(9); w-/h-*(2); max/min w/h(2); rounded-*(7); shadow*(1); font-weight(8); tracking/leading(12); style object key(16),"L37:style={{ | L46:style={{ | L42:<div className=""mx-auto flex min-h-[calc(100vh-5rem)] w-full max-w-6xl flex-col justify-center gap-8""> | L43:<div className=""grid gap-6 lg:grid-cols-[1.15fr_0.85fr]"">"
features/shared/entry/AccessPage.tsx,14,127,inline style={{ }}(1); Tailwind arbitrary [...](19); rem/em literal(6); % literal(1); transition*(3); text-* size(17); padding/margin *(22); gap/space-*(9); w-/h-*(5); max/min w/h(3); rounded-*(6); font-weight(9); tracking/leading(8); style object key(18),"L24:style={{ | L30:<div className=""grid gap-10 lg:grid-cols-[1.08fr_0.92fr] lg:items-start""> | L32:<p className=""typ-label text-[color:var(--color-bronze-500)]""> | L49:<span className=""inline-flex items-center gap-2 rounded-full border border-theme-soft bg-[color:var(--surface-panel-stro"
tech-stack-generator/src/pages/Features.tsx,13,110,hex color(3); transition*(1); text-* size(31); padding/margin *(31); gap/space-*(13); w-/h-*(2); max/min w/h(1); rounded-*(6); shadow*(1); Tailwind palette color(3); font-weight(11); tracking/leading(1); style object key(6),"L132:style Canvas fill:var(--color-ecru-950),stroke:#f59e0b | L133:style Bridge fill:var(--color-dark-midnight-blue-700),stroke:#a855f7 | L154:className=""card group hover:border-docs-border-hover transition-colors"" | L159:<h3 className=""font-semibold text-docs-text-strong text-sm mb-1"">{f.name}</h3>"
